hour,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,total_network_tx_count,total_network_volume,massive_whale_tx_count,massive_whale_volume,mid_whale_tx_count,mid_whale_volume,avg_gas_gwei,max_gas_gwei,unique_large_senders,unique_large_receivers,whale_contract_calls,drawdown_6h_label
2022-01-25 12:00:00,2424.32,2492.94,2365.23,2480.61,201430.7707,489595981.9,342346,292253,752428.59726,108,355292.99911000003,791,209626.68571,133.78060495666668,55027.99598,145,122,206,0
2022-01-25 18:00:00,2480.61,2506.55,2404.51,2458.83,102531.101,252004733.60999998,207054,302413,616275.15888,63,257894.971349,585,172756.67674,191.85465121666667,28465.58954,115,94,132,0
2022-01-26 00:00:00,2459.04,2500.0,2414.71,2475.97,86309.5048,212368441.69,164150,289630,761336.2879,73,480647.45951,437,125188.47271,126.84050261666665,56880.01802,80,73,104,0
2022-01-26 06:00:00,2475.97,2548.2,2444.49,2546.58,114036.2209,284435826.87,198728,265227,443036.61780999997,44,162218.88538,647,153426.49272,97.95705012166667,19776.09092,92,82,224,0
2022-01-26 12:00:00,2546.58,2668.58,2524.4,2595.37,239221.80049,623801514.22,390662,299095,867506.90316,102,406117.44108,1057,278166.60366,149.21455209833331,32401.36729,175,151,320,1
2022-01-26 18:00:00,2595.38,2722.0,2402.03,2462.99,366874.0967,937993362.59,631381,292164,702907.55556,102,290379.3288,743,207174.87595,200.27704218333335,34431.12749,112,106,185,0
2022-01-27 00:00:00,2463.0,2495.25,2354.02,2390.09,170570.1429,410079539.3,276924,296811,817768.06986,85,499621.11327000003,573,162359.74129,140.17671396666665,15658.5431,102,88,107,0
2022-01-27 06:00:00,2390.09,2459.01,2375.35,2456.66,98493.9617,238618886.49,181930,264669,518145.51346,65,246164.67549,579,147825.77973,111.72462539833333,30000.0,89,83,210,0
2022-01-27 12:00:00,2456.67,2521.0,2436.78,2448.7,142578.5783,353143102.71000004,261044,293860,827267.70071,68,479671.60586400004,681,193899.75292,153.84234281333332,76000.0,113,97,154,1
2022-01-27 18:00:00,2448.71,2456.52,2316.43,2424.25,187839.033,446901421.91999996,309306,278344,527630.40502,88,201237.97768,586,157596.89608,214.26433133333333,31678.88124,104,100,158,0
2022-01-28 00:00:00,2424.02,2461.0,2360.0,2448.36,109394.092,265146033.55,189275,284638,495434.00062,69,199519.49574,570,141781.62235,148.87003508333333,38105.52005,106,94,108,0
2022-01-28 06:00:00,2448.35,2474.09,2371.87,2396.84,106520.1805,256460490.47,204281,272345,496899.66388,76,245974.44838000002,480,123073.53483,105.95781260666666,47619.04762,86,87,90,0
2022-01-28 12:00:00,2396.84,2492.26,2357.88,2454.49,158282.5024,383893681.59000003,277571,282490,781424.28777,91,453293.09603,693,181739.61677,141.72741368333334,20525.42225,117,97,182,0
2022-01-28 18:00:00,2454.51,2558.98,2425.51,2544.99,110953.0316,278042976.79,213178,298086,485144.93955999997,62,215936.97096,455,119351.57523,162.98523350000002,32783.29086,93,73,79,0
2022-01-29 00:00:00,2544.99,2585.89,2520.01,2533.65,87727.9961,223196546.68,155074,294415,502469.4869,46,238655.09182,427,122663.76789,120.42819091666667,31862.90794,76,78,95,0
2022-01-29 06:00:00,2533.65,2578.62,2528.87,2554.84,73032.3889,186318345.53,126015,276852,355438.12941,28,130611.254205,372,100035.50704,101.27883225833334,39855.41154,65,61,99,0
2022-01-29 12:00:00,2554.83,2607.69,2523.65,2564.86,129614.6423,332421379.95,202723,289283,386604.38494,45,150836.02335600002,372,97903.84736,132.66883965833333,21389.29234,63,68,81,0
2022-01-29 18:00:00,2564.86,2636.66,2563.2,2601.43,86291.7973,224788953.64,172205,286607,339955.0459,19,96977.690658,353,88544.11478999999,121.21127316833334,48361.70684,54,54,104,0
2022-01-30 00:00:00,2601.43,2614.97,2563.49,2605.21,70856.60770000001,183222021.07999998,130244,278940,326603.85991999996,40,128278.940255,311,76155.724739,101.06635532333333,7904.224262,62,60,75,0
2022-01-30 06:00:00,2605.21,2640.0,2595.96,2626.24,61943.1805,161906687.45,121520,287552,262396.42129,28,70751.843932,395,87441.743507,81.52140477666667,43782.64441,77,72,143,0
2022-01-30 12:00:00,2626.24,2639.0,2585.58,2618.46,60687.1519,158333022.57999998,130989,310701,661563.47332,40,435809.97471999994,388,88332.053229,157.08265670833333,16858.65181,74,92,116,0
2022-01-30 18:00:00,2618.46,2632.6,2542.5,2601.68,97283.1458,251578103.45,181725,306657,340438.75444,28,136606.781851,287,69459.156951,178.7675547,19287.35289,54,52,103,0
2022-01-31 00:00:00,2601.67,2608.48,2476.07,2508.45,121496.5275,307012101.62,206502,277047,438079.74704,34,152185.003309,533,154511.15023,108.05995029,25459.67719,84,90,151,0
2022-01-31 06:00:00,2508.46,2569.75,2502.38,2558.01,60999.834800000004,154539070.14,124406,300113,375390.52861,51,168036.58669,355,87821.63365999999,82.11038576666667,88440.32821,80,60,95,0
2022-01-31 12:00:00,2558.0,2696.33,2520.0,2686.82,168103.32749999998,440695657.27,291753,296803,615718.44959,81,303803.13804999995,577,161248.85546,126.92386984,24199.46341,153,96,120,0
2022-01-31 18:00:00,2686.9,2706.77,2661.53,2686.94,93985.1612,252241698.54,192336,303382,717108.29171,41,382310.80586,619,157030.348,171.24007905,13342.79225,141,85,129,0
2022-02-01 00:00:00,2686.94,2767.31,2673.52,2732.85,94736.04742,257866328.79000002,188527,294925,645368.14881,58,344015.63832,541,155430.60447000002,146.2915630166667,17748.06835,82,103,116,0
2022-02-01 06:00:00,2732.85,2796.79,2718.22,2761.32,101354.95430000001,278718328.73,191937,281657,461089.84674,60,188141.71459,481,131376.24881,102.47804014166667,21750.24427,83,84,127,0
2022-02-01 12:00:00,2761.31,2813.0,2732.05,2782.01,136662.0453,379600004.89,271345,304571,465455.97808000003,50,127482.33190199999,619,156745.79889,188.71847876166666,39910.48917,98,88,182,0
2022-02-01 18:00:00,2782.0,2804.02,2750.42,2787.23,57281.2266,159156828.39,138534,292046,421228.0588,49,144949.538735,428,106428.49812999999,181.1466053833333,26162.14425,78,69,109,0
2022-02-02 00:00:00,2787.48,2803.53,2741.67,2764.01,66318.8204,183686238.48000002,119334,286968,297497.16361,35,88924.15543,325,82650.175218,166.38649991666668,35433.21304,55,53,88,0
2022-02-02 06:00:00,2764.0,2781.43,2740.0,2766.89,51902.0426,143249159.76,113656,282687,418256.68269000005,50,211400.80847,354,90328.364352,89.31856681833334,20537.5,67,71,92,0
2022-02-02 12:00:00,2766.9,2810.88,2638.0,2685.83,189659.5783,514003978.28,302830,287600,443986.27624,52,163691.110227,504,123058.46301,162.01519526333334,13391.62655,90,89,129,0
2022-02-02 18:00:00,2685.83,2735.0,2612.72,2680.67,139971.6815,375019403.7,284043,295410,431568.41135999997,60,111244.89472,525,148593.01338,211.77067518333334,80567.55143,97,93,110,0
2022-02-03 00:00:00,2680.25,2726.64,2646.09,2655.46,94008.8652,251873703.2,164837,273436,697074.38416,68,418441.89255,523,142055.76162,110.63895418499999,40690.33011,102,83,95,0
2022-02-03 06:00:00,2655.64,2685.0,2582.75,2621.91,101743.4483,267797139.26999998,172347,280705,606062.59519,89,394230.12662,377,98557.86721299999,86.61644878666668,65712.19022,86,96,88,0
