hour,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,drawdown_6h_label
2018-05-20 18:00:00,721.2,725.01,710.0,716.16,17945.34287,12910915.358000001,19998,0
2018-05-21 00:00:00,716.16,719.14,704.39,715.36,22137.541830000002,15784914.458999999,19635,0
2018-05-21 06:00:00,715.74,720.46,705.0,709.52,24888.85252,17763050.075,24838,0
2018-05-21 12:00:00,709.52,711.5,693.22,693.78,28774.08022,20157151.251000002,25247,0
2018-05-21 18:00:00,694.39,701.09,688.0,696.7,20284.67994,14093907.766,19718,0
2018-05-22 00:00:00,697.1,699.6,682.2,688.72,20662.82271,14227654.299,20709,0
2018-05-22 06:00:00,688.73,699.0,681.13,683.67,20714.78549,14295386.575,23058,0
2018-05-22 12:00:00,683.7,688.0,673.88,674.62,23967.34936,16326239.591,25418,1
2018-05-22 18:00:00,674.62,675.33,637.32,640.99,41714.61934,27263446.373,41730,0
2018-05-23 00:00:00,640.86,669.0,625.65,639.02,48597.37825,30969942.786,45629,1
2018-05-23 06:00:00,639.47,644.0,610.0,620.99,50911.07727,31712634.66,43828,1
2018-05-23 12:00:00,620.4,629.54,560.0,569.28,84733.76329999999,50334066.602,59373,0
2018-05-23 18:00:00,569.28,598.5,564.37,577.19,72857.55214,42621899.714,54270,0
2018-05-24 00:00:00,577.19,612.1,576.39,604.46,46674.47025,27807180.939,35236,1
2018-05-24 06:00:00,604.46,605.8,550.0,564.76,69485.8949,39778192.942,56430,0
2018-05-24 12:00:00,565.0,596.18,555.01,585.01,48958.26782,28516589.37,40192,0
2018-05-24 18:00:00,585.07,604.46,582.22,602.18,30735.992,18222369.004,27897,0
2018-05-25 00:00:00,602.08,613.14,588.01,612.94,26296.74681,15810964.331,25780,1
2018-05-25 06:00:00,612.6,617.46,582.41,597.57,41803.40615,24878430.399,37899,0
2018-05-25 12:00:00,597.57,607.05,584.22,586.29,25895.85385,15473332.345,26770,1
2018-05-25 18:00:00,586.28,586.51,568.7,585.55,24080.25592,13955497.859,24794,0
2018-05-26 00:00:00,585.56,590.0,578.32,588.59,17081.6301,9974671.015,17297,0
2018-05-26 06:00:00,587.8,606.29,586.04,599.58,22112.43222,13231679.260000002,22516,0
2018-05-26 12:00:00,599.59,605.0,595.01,603.7,17592.0235,10579347.187,16529,1
2018-05-26 18:00:00,603.7,607.62,582.1,586.0,20868.0395,12419585.2222,20104,0
2018-05-27 00:00:00,586.03,587.04,575.6,581.1,20650.99312,12021445.504999999,17818,0
2018-05-27 06:00:00,581.11,592.0,572.01,575.83,27976.27899,16218679.82,26472,0
2018-05-27 12:00:00,575.78,577.0,564.05,570.28,23610.71406,13472948.863,22501,0
